cliente_numero,cuit,cliente_id,direccion_id,telefono,email
1612,,CLI-001612,ZONA-001612,,
139,,CLI-000139,ZONA-000139,,cli-000139@example.com
1611,,CLI-001611,ZONA-001611,,
895,,CLI-000895,ZONA-000895,,
865,,CLI-000865,ZONA-000865,,
1057,,CLI-001057,ZONA-001057,,
1273,,CLI-001273,ZONA-001273,,
216,,CLI-000216,ZONA-000216,,
776,,CLI-000776,ZONA-000776,,
1064,,CLI-001064,ZONA-001064,,
1620,,CLI-001620,ZONA-001620,,
1226,,CLI-001226,ZONA-001226,,
1519,,CLI-001519,ZONA-001519,,
920,,CLI-000920,ZONA-000920,,
960,,CLI-000960,ZONA-000960,,
1115,,CLI-001115,ZONA-001115,,
883,,CLI-000883,ZONA-000883,,
598,,CLI-000598,ZONA-000598,,
1458,,CLI-001458,ZONA-001458,,
1362,,CLI-001362,ZONA-001362,,
1001,,CLI-001001,ZONA-001001,,
1216,,CLI-001216,ZONA-001216,,
1422,,CLI-001422,ZONA-001422,,
1092,,CLI-001092,ZONA-001092,,
1409,,CLI-001409,ZONA-001409,,
1547,,CLI-001547,ZONA-001547,,
1227,,CLI-001227,ZONA-001227,,
1061,,CLI-001061,ZONA-001061,,
604,,CLI-000604,ZONA-000604,,
354,,CLI-000354,ZONA-000354,,
552,,CLI-000552,ZONA-000552,,
846,,CLI-000846,ZONA-000846,,
1618,,CLI-001618,ZONA-001618,,
1376,,CLI-001376,ZONA-001376,,
307,,CLI-000307,ZONA-000307,,
1545,,CLI-001545,ZONA-001545,,
1487,,CLI-001487,ZONA-001487,,
1237,,CLI-001237,ZONA-001237,,
1170,,CLI-001170,ZONA-001170,,
1234,,CLI-001234,ZONA-001234,,
1546,,CLI-001546,ZONA-001546,,
1386,,CLI-001386,ZONA-001386,,
493,,CLI-000493,ZONA-000493,,
1596,,CLI-001596,ZONA-001596,,
560,,CLI-000560,ZONA-000560,,
97,,CLI-000097,ZONA-000097,,
108,,CLI-000108,ZONA-000108,,
1316,,CLI-001316,ZONA-001316,,
932,,CLI-000932,ZONA-000932,,
301,,CLI-000301,ZONA-000301,,
1400,,CLI-001400,ZONA-001400,,
1327,,CLI-001327,ZONA-001327,,
1585,,CLI-001585,ZONA-001585,,
1484,,CLI-001484,ZONA-001484,,
341,,CLI-000341,ZONA-000341,,
1320,,CLI-001320,ZONA-001320,,
1498,,CLI-001498,ZONA-001498,,
484,,CLI-000484,ZONA-000484,,
1420,,CLI-001420,ZONA-001420,,
1599,,CLI-001599,ZONA-001599,,
1556,,CLI-001556,ZONA-001556,,
1558,,CLI-001558,ZONA-001558,,
1303,,CLI-001303,ZONA-001303,,
501,,CLI-000501,ZONA-000501,,
1425,,CLI-001425,ZONA-001425,,
1540,,CLI-001540,ZONA-001540,,
1377,,CLI-001377,ZONA-001377,,
1367,,CLI-001367,ZONA-001367,,
694,,CLI-000694,ZONA-000694,,
1450,,CLI-001450,ZONA-001450,,
339,,CLI-000339,ZONA-000339,,
1579,,CLI-001579,ZONA-001579,,
1071,,CLI-001071,ZONA-001071,,
1229,,CLI-001229,ZONA-001229,,
592,,CLI-000592,ZONA-000592,,
816,,CLI-000816,ZONA-000816,,
1319,,CLI-001319,ZONA-001319,,
229,,CLI-000229,ZONA-000229,,
1111,,CLI-001111,ZONA-001111,,
168,,CLI-000168,ZONA-000168,,
516,,CLI-000516,ZONA-000516,,
1384,,CLI-001384,ZONA-001384,,
834,,CLI-000834,ZONA-000834,,
1432,,CLI-001432,ZONA-001432,,
1442,,CLI-001442,ZONA-001442,,
777,,CLI-000777,ZONA-000777,,
1401,,CLI-001401,ZONA-001401,,
1133,,CLI-001133,ZONA-001133,,
1202,,CLI-001202,ZONA-001202,,
267,,CLI-000267,ZONA-000267,,
1311,,CLI-001311,ZONA-001311,,
1459,,CLI-001459,ZONA-001459,,
1608,,CLI-001608,ZONA-001608,,
556,,CLI-000556,ZONA-000556,,
330,,CLI-000330,ZONA-000330,,
1593,,CLI-001593,ZONA-001593,,
985,,CLI-000985,ZONA-000985,,
1595,,CLI-001595,ZONA-001595,,
1594,,CLI-001594,ZONA-001594,,
1499,,CLI-001499,ZONA-001499,,
1582,,CLI-001582,ZONA-001582,,
